,DEPARTAMENTO,MUNICIPIO,Total_100 y más,Total Hombres,Total Mujeres,Total,Total_0_4,Total_5_14,Total_15_44,Total_45_64,Total_65_84,Total_85_99
165041,Putumayo,Puerto Guzmán,10,19299,17366,36665,4084,8274,16396,6001,1684,216
165194,Putumayo,Puerto Leguízamo,7,15656,13838,29494,3411,6638,13647,4326,1321,144
165347,Putumayo,Sibundoy,4,7390,8083,15473,1188,2405,7125,3210,1348,193
165500,Putumayo,San Francisco,2,2707,2860,5567,413,908,2518,1065,579,82
165653,Putumayo,San Miguel,4,9848,9586,19434,1906,3802,9532,3079,1003,108
165806,Putumayo,Santiago,4,3536,3772,7308,717,1287,3289,1250,631,130
165959,Putumayo,Valle del Guamuez,9,17374,17286,34660,2718,6292,17414,6086,1932,209
166112,Putumayo,Villagarzón,5,12036,12060,24096,2318,4612,11836,3845,1300,180
166265,Archipiélago de San Andrés,San Andrés,27,27693,29740,57433,4445,8321,25322,14690,4302,326
166418,Archipiélago de San Andrés,Providencia,0,3045,3214,6259,481,1002,2692,1523,518,43
166571,Amazonas,Leticia,11,25486,24251,49737,5722,11174,23263,7222,2060,285
166724,Amazonas,El Encanto (CD),0,1130,947,2077,263,563,855,273,110,13
166877,Amazonas,La Chorrera (CD),0,1653,1302,2955,375,982,1094,331,158,15
167030,Amazonas,La Pedrera (CD),1,2063,1884,3947,499,1003,1755,470,165,54
167183,Amazonas,La Victoria (CD),0,323,339,662,85,141,266,118,18,34
167336,Amazonas,Miriti - Paraná (CD),0,1047,832,1879,239,479,861,186,97,17
167489,Amazonas,Puerto Alegría (CD),0,425,346,771,126,192,314,92,37,10
167642,Amazonas,Puerto Arica (CD),0,539,503,1042,149,242,408,159,72,12
167795,Amazonas,Puerto Nariño,1,5349,4890,10239,1303,2716,4547,1178,410,84
167948,Amazonas,Puerto Santander (CD),0,933,839,1772,231,504,684,228,105,20
168101,Amazonas,Tarapacá (CD),2,2087,1852,3939,570,1060,1666,422,159,60
168254,Guainía,Inírida,8,17345,16338,33683,3849,7812,15935,4543,1314,222
168407,Guainía,Barrancominas,0,4841,4213,9054,1701,3063,3476,638,158,18
168560,Guainía,Mapiripana (CD),0,0,0,0,0,0,0,0,0,0
168713,Guainía,San Felipe (CD),0,899,844,1743,238,529,723,198,52,3
168866,Guainía,Puerto Colombia (CD),0,1038,946,1984,265,609,793,223,91,3
169019,Guainía,La Guadalupe (CD),0,155,141,296,54,100,107,20,12,3
169172,Guainía,Cacahual (CD),0,461,442,903,124,315,340,93,28,3
169325,Guainía,Pana Pana (CD),0,1071,940,2011,362,556,831,196,62,4
169478,Guainía,Morichal (CD),0,499,463,962,156,279,408,86,30,3
169631,Guaviare,San José del Guaviare,13,28520,27300,55820,6014,11211,26609,9029,2735,209
169784,Guaviare,Calamar,10,5636,4433,10069,1161,1951,4577,1860,453,57
169937,Guaviare,El Retorno,10,7393,6329,13722,1450,3178,5812,2507,701,64
170090,Guaviare,Miraflores,0,4296,2750,7046,768,1639,2707,1532,381,19
170243,Vaupés,Mitú,7,17105,15688,32793,4468,9595,13619,3738,1221,145
170396,Vaupés,Carurú,0,1726,1475,3201,427,1014,1272,342,123,23
170549,Vaupés,Pacoa (CD),2,2314,2108,4422,811,1424,1729,340,81,35
170702,Vaupés,Taraira,0,1248,1175,2423,416,682,1003,248,63,11
170855,Vaupés,Papunahua (CD),0,436,340,776,170,189,297,84,25,11
171008,Vaupés,Yavaraté (CD),0,569,528,1097,94,461,412,82,37,11
171161,Vichada,Puerto Carreño,4,10520,9774,20294,2106,3856,10392,3089,797,50
171314,Vichada,La Primavera,1,5055,4553,9608,948,2097,4546,1534,436,46
171467,Vichada,Santa Rosalía,0,2173,2020,4193,381,970,1977,671,180,14
171620,Vichada,Cumaribo,18,41840,37023,78863,10538,21092,35333,9348,2364,170
172621,COLOMBIA,COLOMBIA,19219,20887044,21741425,42628469,3433969,6938817,19541755,8757142,3512813,424754
