País,Total_Casos,Fallecidos,Población,Tasa de mortalidad por millón de habitantes,Tasa de letalidad por cien habitantes
Sudáfrica,0,0,59309000,0.0,
Sudán del Sur,0,0,11194000,0.0,
España,0,0,46755000,0.0,
Sri Lanka,0,0,21413000,0.0,
Sudán,0,0,43849000,0.0,
Surinam,0,0,587000,0.0,
Suecia,0,0,10099000,0.0,
Suiza,0,0,8655000,0.0,
República Árabe Siria,0,0,17501000,0.0,
Tayikistán,0,0,9538000,0.0,
Tailandia,0,0,69800000,0.0,
Timor-Leste,0,0,1318000,0.0,
Ir,0,0,8279000,0.0,
Tokelau,0,0,1000,0.0,
Tonga,0,0,106000,0.0,
Trinidad y Tobago,0,0,1399000,0.0,
Túnez,0,0,11819000,0.0,
Turkmenistán,0,0,6031000,0.0,
Islas Turcas y Caicos,0,0,39000,0.0,
Tuvalu,0,0,12000,0.0,
Uganda,0,0,45741000,0.0,
Ucrania,0,0,43734000,0.0,
Emiratos Árabes Unidos,0,0,9890000,0.0,
República Unida de Tanzania,0,0,59734000,0.0,
Islas Vírgenes de los Estados Unidos,0,0,104000,0.0,
Estados Unidos de America,0,0,331003000,0.0,
Uruguay,0,0,3474000,0.0,
Vanuatu,0,0,307000,0.0,
Venezuela (República Bolivariana de),0,0,28436000,0.0,
Vietnam,0,0,97339000,0.0,
Yemen,0,0,29826000,0.0,
Zambia,0,0,18384000,0.0,
Zimbabue,0,0,14863000,0.0,
